source,source_url
WADNR_COSTR,https://experience.arcgis.com/experience/45da8d5eb5874a179d09163e9fa5ad15
WADNR_AQRES,https://experience.arcgis.com/experience/45da8d5eb5874a179d09163e9fa5ad15
WADNR_ShoreZone,https://www.dnr.wa.gov/programs-and-services/aquatics/aquatic-science/nearshore-habitat-inventory
WADNR_KAM,https://storymaps.arcgis.com/stories/b501ab57cc5749f8861202b7ad22a681
WADNR_cps_boat_survey,https://www.dnr.wa.gov/programs-and-services/aquatics/aquatic-science/kelp-monitoring
WADNR_sps_boat_survey,https://www.dnr.wa.gov/publications/aqr_nrsh_bullkelp_sps_2019.pdf
WADNR_Kayak,https://www.dnr.wa.gov/publications/aqr_ledbetter_berry24.pdf
WADNR_Suquamish_CPS_UAS_surveys,https://dnr.wa.gov/sites/default/files/2026-02/aqr_nrsh_mcclure_2025.pdf
MRC_Kayak,https://www.nwstraits.org/our-work/kelp-recovery/
Berry_et_al_2021,https://doi.org/10.1371/journal.pone.0229703
Samish_AerialSurveys,https://storymaps.arcgis.com/stories/b9f979a547004c32a616b5319a6410c0
WADNR_1984_Seattle_Imagery,https://storymaps.arcgis.com/stories/c13a62f9930a4f2481e3ba1fb620f8e0/
